path	physicalLines	nonblankLines
SharpProof.Symbolic/Ir/SymbolicLoweringValue.cs	8	8
SharpProof.Symbolic/Ir/SymbolicLoweringValueFacts.cs	51	51
SharpProof.Symbolic/Ir/SymbolicMemberLowerer.cs	146	146
SharpProof.Symbolic/Ir/SymbolicNullableLowerer.cs	659	659
SharpProof.Symbolic/Ir/SymbolicNumericLowerer.cs	136	136
SharpProof.Symbolic/Ir/SymbolicObjectLowerer.cs	27	27
SharpProof.Symbolic/Ir/SymbolicOperationDescriptor.cs	48	48
SharpProof.Symbolic/Ir/SymbolicOperationLowerer.Assignments.cs	380	380
SharpProof.Symbolic/Ir/SymbolicOperationLowerer.cs	1240	1240
SharpProof.Symbolic/Ir/SymbolicOperationTransfer.cs	76	76
SharpProof.Symbolic/Ir/SymbolicOperationTransferKernel.cs	195	195
SharpProof.Symbolic/Ir/SymbolicOperationTransitionResult.cs	10	9
SharpProof.Symbolic/Ir/SymbolicOperatorLowerer.cs	108	108
SharpProof.Symbolic/Ir/SymbolicPatternLowerer.cs	690	690
SharpProof.Symbolic/Ir/SymbolicReachabilityLowerer.cs	95	94
SharpProof.Symbolic/Ir/SymbolicReferenceLowerer.cs	124	124
SharpProof.Symbolic/Ir/SymbolicRegexLowerer.cs	295	295
SharpProof.Symbolic/Ir/SymbolicSemanticPipeline.cs	279	279
SharpProof.Symbolic/Ir/SymbolicSourceCompletionLowerer.cs	37	37
SharpProof.Symbolic/Ir/SymbolicSourcePredicateLowerer.cs	457	457
SharpProof.Symbolic/Ir/SymbolicStateMerger.cs	61	61
SharpProof.Symbolic/Ir/SymbolicStatefulAssignmentTransfer.cs	262	262
SharpProof.Symbolic/Ir/SymbolicStringLengthLowerer.cs	259	259
SharpProof.Symbolic/Ir/SymbolicStringLowerer.cs	782	782
SharpProof.Symbolic/Ir/SymbolicTupleLowerer.cs	123	123
SharpProof.Symbolic/Ir/SymbolicTypeLowerer.cs	71	71
SharpProof.Symbolic/MetadataMethodEffectAnalyzer.cs	1234	1234
SharpProof.Symbolic/MethodBodyOperationResolver.cs	24	24
SharpProof.Symbolic/MethodEffectModels.cs	72	72
SharpProof.Symbolic/NullableFlowFacts.cs	496	496
SharpProof.Symbolic/Polyfills/IsExternalInit.cs	5	5
SharpProof.Symbolic/Properties/AssemblyInfo.cs	4	4
SharpProof.Symbolic/RoslynStructuralMethodIdentity.cs	150	150
SharpProof.Symbolic/SharpProofAnalysisApi.cs	553	553
SharpProof.Symbolic/Smt/CSharpMathPatternRecognizer.cs	37	37
SharpProof.Symbolic/Smt/SmtAnalysisBudget.cs	14	14
SharpProof.Symbolic/Smt/SmtAnalysisLifecycle.cs	25	25
SharpProof.Symbolic/Smt/SmtAnalysisOptions.cs	60	60
SharpProof.Symbolic/Smt/SmtAnalysisService.cs	314	314
SharpProof.Symbolic/Smt/SmtFormulaStructuralKey.cs	45	45
SharpProof.Symbolic/Smt/SmtNativeLibraryBootstrap.cs	83	83
SharpProof.Symbolic/Smt/SmtProofResultCache.cs	65	65
SharpProof.Symbolic/Smt/SmtProofSearchSessionPool.cs	44	44
SharpProof.Symbolic/Smt/SwitchPathConditionBuilder.cs	272	272
SharpProof.Symbolic/StructuralMethodIdentity.cs	65	65
SharpProof.Symbolic/SymbolCurrentValueResolver.cs	71	71
SharpProof.Symbolic/SymbolMutationFacts.cs	56	56
